ISBN/ISSN,Title,Author,Copy Count
2100075675,ANALYSE PC-PSI-PT,JEAN-MARIE MONIER,0
2729600595,ANALYSE RÉELLE,"LANG,SERGE",2
2704200033,ANALYSE VECTORIELLE,MURRAY R. SPIEGEL,0
9782409008979,ANGULAR,DANIEL DJORDJEVIC,3
9780367619244,ANTHROPOLOGY OF ARGUMENT,CHRISTOPHER W. TINDALE,2
2746209969,APPLICATIONS MATHÉMATIQUES AVEC MATLAB,LUC JOLIVET,0
2212113277,APPRENDRE JAVA ET C++ EN PARALLÈLE,"BOICHAT, JEAN-BERNARD",1
9782212121353,APPRENDRE LE C++,"DELANNOY, CLAUDE",1
9782311401998,APPRENDRE À PROGRAMMER AVEC C ET PYTHON,VIOLETA FELEA,2
9782212134346,APPRENDRE À PROGRAMMER AVEC PYTHON 3,GÉRARD SWINNEN,0
9791090085077,APPRENEZ À PROGRAMMER EN JAVA,CYRILLE HERBY,2
2729899146,APPROCHE DU TEMPS REEL INDUSTRIEL,"DE GEETER, JEAN-MARIE",2
2840741148,APPROCHE FONCTIONNELLE DE LA PROGRAMMATION,"COUSINEAU, GUY",3
9782311004762,"ARCHITECTURE DES ORDINATEURS : MÉMOIRES À SEMI-CONDUCTEURS, PRINCIPE DE FONCTIONNEMENT ET ORGANISATION INTERNE DES MÉMOIRES VIVES","DARCHE, PHILIPPE",1
2729823182,ARCHITECTURE DES SYSTÈMES SUR PUCE,AMMAR ATTOUI,0
210003801X,ARCHITECTURE ET TECHNOLOGIE DES ORDINATEURS,"ZANELLA, PAOLO",3
9782746073852,ARCHITECTURE LOGICIELLE,THOMAS BAILET,0
2100048937,"ARCHITECTURES LOGICIELLES ET MATÉRIELLES : COURS, ÉTUDES DE CAS ET EXERCICES CORRIGÉS",AMBLARD PAUL,2
9782100710409,ARDUINO : MAÎTRISEZ SA PROGRAMMATION ET SES CARTES D'INTERFACE (SHIELDS),"TAVERNIER, CHRISTIAN",4
9781138502383,ARTIFICIAL INTELLIGENCE,RICHARD E. NEAPOLITAN,2
9780321545893,ARTIFICIAL INTELLIGENCE,GEORGE F. LUGER,0
047190581X,ARTIFICIAL INTELLIGENCE,"SHIRAI, YOSHIAKI.",2
9780367431365,ARTIFICIAL INTELLIGENCE (AI),S. KANIMOZHI SUGUNA,2
9781914063190,"ARTIFICIAL INTELLIGENCE A MODERN APPROACH : THE APPLICATION IN HEALTHCARE, INDUSTRY AND MORE. THE FASCINATING TOPIC OF MACHINE LEARNING AND PREDICTION MACHINES. THE COMPLEXITY EXPLAINED FOR BEGINNERS","BAKER, CHRIS",1
9780367466664,ARTIFICIAL INTELLIGENCE AND CYBERSECURITY,ISHAANI PRIYADARSHINI,2
9781138354739,ARTIFICIAL INTELLIGENCE AND DATA MINING FOR MERGERS AND ACQUISITIONS,"CHANDA, DEBASIS",2
9780367374358,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING IN 2D-3D MEDICAL IMAGE PROCESSING,"RAJA, ROHIT",2
9780367638368,ARTIFICIAL INTELLIGENCE FOR BUSINESS OPTIMIZATION : RESEARCH AND APPLICATIONS,"UNHELKAR, BHUVAN",2
9780367744977,ARTIFICIAL INTELLIGENCE FOR THE INTERNET OF HEALTH THINGS,"SHANKAR, K.",2
9781119810452,ARTIFICIAL INTELLIGENCE HARDWARE DESIGN,ALBERT (CHUN-CHEN) LIU,3
2746404168,ASP.NET ET LES BASES DE DONNÉES,"BUTLER, JASON",1
9789961017098,ASSURANCE -QUALITE DANS L'ENSEIGNEMENT SUPERIEUR CONDUIRE ET REUSSIR L'AUTOEVALUATION,BADDARI KAMEL,1
9789961020722,AU CARREFOUR DES EXAMENS DE TOPOLOGIE : PROBLEMES ET EXERCICES RESOLUS,HAZI MOHAMMED,30
9973948149,BAGAGE DE PHYSIQUE ÉLÉMENTAIRE,"HERZOG-TORKI, O.M",2
2100053507,BASES DE DONNEES ET STATISTIQUE,"MORIN, ANNIE",4
2212112815,BASES DE DONNÉES,"GARDARIN, GEORGES",1
9782100842858,BASES DE DONNÉES,"GARDARIN, GEORGES",1
2100066285,BASES DE DONNÉES WEB AVEC .NET ,BUYENS,0
2100056557,"BEST OF MATHÉMATIQUES : LES 14 MEILLEURS SUJETS DE CENTRALE, CCP, E3A, E4A, ESIM : MP, PC, PSI","ROUGET, JEAN-LOUIS",1
2744006297,BIBLIOTHÈQUES DE CLASSES JAVA 2,"SANKAR, KRISHNA",1
9780367575953,BIG DATA,KUAN-CHING LI,0
9780134291079,BIG DATA FUNDAMENTALS,THOMAS ERL,0
9782100809813,BIOCHIMIE,SIMON BEAUMONT,3
9782100819157,BIOLOGIE CELLULAIRE,"RIGO, PIERRE",3
9782855577333,BIOLOGIE DU SOL ET AGRICULTURE DURABLE : UNE APPROCHE ORGANIQUE ET AGROÉCOLOGIQU,CHRISTIAN DE CARNÉ-CARNAVALET,3
9782100823581,BIOLOGIE VÉGÉTALE,FRÉDÉRIC GÉVAUDANT,3
2729823212,"BIT APRÈS BIT : NUMÉRATION, ARITHMÉTIQUE BINAIRE, LOGIQUE COMBINATOIRE","MERCIER, JEAN-JACQUES",1
2846270996,BULAG,CENTRE TESNIÈRE,0
9781802209020,BUSINESS TEACHING BEYOND SILOS,LAUREN TRACZYKOWSKI,3
9781316628225,BUSINESS VOCABULARY IN USE ADVANCED BOOK WITH ANSWERS SELF-STUDY AND CLASSROOM USE,"MASCULL,BILL",3
2893771556,C / C++ BIBLE PROGRAMMEUR,JAMSA,4
521456509,C BY EXAMPLE,"KALICHARAN, NOEL",1
2212113161,CAHIERS DU PROGRAMMEUR JAVA/XML,RENAUD FLEURY,0
9782100574247,"CALCUL DES PROBABILITÉS : COURS, EXERCICES ET PROBLÈMES CORRIGÉS","FOATA, DOMINIQUE",2
978996101320,CALCUL DIFFERENTIEL ET INTEGRAL TOME 01,"PISKOUNOV,N",6
978996101706,CALCUL DIFFÉRENTIEL DES FONCTIONS DE PLUSIEURS VARIABLES,ZIZI KHELIFA,8
978996101743243,CALCUL INTÉGRAL DES FONCTIONS DE PLUSIEURS VARIABLES : LIVRE13,ZIZI KHELIFA,4
9789961017432,CALCUL INTÉGRAL DES FONCTIONS DE PLUSIEURS VARIABLES LIVRES 13,ZIZI KHELIFA,4
9789961018231,CALCUL NUMÉRIQUE PARTIE,AZEDDINE SOUDANI,2
73040185,"CALCULUS : FOR BUSINESS, ECONOMICS, AND THE SOCIAL AND LIFE SCIENCES","HOFFMANN, LAURENCE D.",1
2704212759,CALCULUS DIFFERENTIEL INTEGRAL,SCHAUM,2
9782100520831,"CHAINES DE MARKOV : COURS, EXERCICES ET CORRIGÉS DÉTAILLÉS","GRAHAM, CARL",1
9782100821075,CHIMIE GÉNÉRALE : CHIMIE DES SOLUTIONS,"BARDEZ, ÉISABETH",3
9782100823567,CHIMIE ORGANIQUE,PAUL ARNAUD,2
978036754339,CHOMSKY FOR ACTIVISTS,"CHOMSKY, NOAM",3
2711786498,CLIENT-SERVEUR,ROBERT ORFALI,0
2729804765,COMMANDE AUTOMATIQUE DES SYSTÈMES LINÉAIRES CONTINUS,VIOREL MINZU,2
2893771866,COMMENT PROGRAMMER EN C++,"DEITEL, HARVEY M.",3
2893772544,COMMENT PROGRAMMER EN JAVA,"DEITEL, HARVEY M.",1
9789961016428,COMMENT RÉUSSIR SES ÉTUDES : GUIDE ET CONSEILS,"HAKIKI, NOUR EDDINE",2
9789961013243,COMMUNICATIONS MOBILES,"BOUKELIF, AOUED",2
9789961020777,COMPILATEURS DE LANGAGES INFORMATIQUES : ECHNIQUE DE CONCE,HABIBA ZERKAOUI,2
9789961017210,COMPILATION : COURS ET EXERCICES CORRIGÉS,"AIT-AOUDIA, SAMY",8
2729826203,COMPILATION DES LANGAGES DE PROGRAMMATION,MARTINE GAUTIER,2
9781292024349,COMPILERS : PEARSON NEW INTERNATIONAL EDITION,A. V. AHO,3
9782744070372,"COMPILERS PRINCIPLES, TECHNIQUES, AND TOOLS",ALFRED V. AHO ... [ET AL.].,3
9780367732776,COMPLEXITY THINKING IN TRANSLATION STUDIES,KOBUS MARAIS,3
9782281143775,COMPUTATIONAL SCIENCES AND HIGH PERFORMANCE COMPUTING,BERNARD BONIN,6
9781292153599,COMPUTER NETWORKING : A TOP-DOWN APPROACH,"F.KUROSE, JAMES",6
9780128182000,COMPUTER NETWORKS,LARRY L. PETERSON,0
9781292420103,COMPUTER ORGANIZATION AND ARCHITECTURE : DESIGNING FOR PERFORMANCE - GLOBAL EDITION,"STALLINGS,WILLIAM",1
9780128203316,COMPUTER ORGANIZATION AND DESIGN RISC-V EDITION,DAVID A. PATTERSON,0
9780130851987,COMPUTER VISION,DAVID FORSYTH,3
9783030343743,COMPUTER VISION,RICHARD SZELISKI,3
9782729829964,CONCEVOIR SON MICROPROCESSEUR,JEAN-CHRISTOPHE BUISSON,3
9782100828418,CONSTRUCTION MÉCANIQUE ET DESSIN INDUSTRIEL,"LUSSIEZ, PASCAL",3
2742929738,CONSTRUISEZ VOTRE PC,"OLEKHNOVITCH, JEAN-DAVID",1
9780367026356,CONTEMPORARY FOUNDATIONS FOR TEACHING ENGLISH AS AN ADDITIONAL LANGUAGE: PEDAGOGICAL APPROACHES AND CLASSROOM APPLICATIONS,POLINA VINOGRADOVA,2
2746214830,CONTRÔLE DES APPLICATIONS TEMPS-RÉEL : MODÈLES TEMPORISÉS ET HYBRIDES,"CASSEZ, FRANCK",1
9782553014192,COURS D'ALGÈBRE,IBRAHIM ASSEM,4
9789961006108,COURS D'ANALYSE NUMÉRIQUE,LAKRIB MUSTAPHA,8
9789961021170,COURS D'ENTREPRENEURIAT,ZELLA AHLEM,9
9782212021226,COURS DE CALCULS TOPOMÉTRIQUES,"ROIG, GÉRARD",3
2729806660,COURS DE MATHÉMATIQUES : MP-MP*,"VOEDTS, JEAN",1
97899611008997,COURS D’ÉLECTRONIQUE,"LADJOUZE,HAMMOUD",4
2711786218,COURS ET EXERCICES D'INFORMATIQUE,ALBERT,0
221202102X,COURS ÉLÉMENTAIRE DE TOPOGRAPHIE,B DUBUISSON,6
9780128117606,DATA MINING,JIAWEI HAN,0
9780132847377,DATA STRUCTURES AND ALGORITHM ANALYSIS IN C++ (4RD EDITION),"ALLEN WEISS, MARK",1
9781337627900,DATABASE SYSTEMS,PETER ROB,0
9789961013601,DE L'ALGÈBRE DE BOOLE AUX CIRCUITS NUMÉRIQUES : COURS ET APPLICATIONS,KARIMA KHADIDJA MOKHTARI,14
9789961020692,"DE MES CAHIERS D’ANALYSE.. INTÉGRALE DE RIEMANN, CALCUL DE PRIMITIVES, INTÉGRALES IMPROPRES, COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",HAZI MOHAMMED,124
9789961020678,"DE MES CAHIERS D’ANALYSE… FONCTIONS RÉELLES D’UNE VARIABLE RÉELLE : LIMITES, CONTINUITÉ ET.. COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",HAZI MOHAMMED,124
9789961020708,DE MES CAHIERS D’ANALYSE… ÉQUATIONS DIFFÉRENTIELLES ORDINAIRES DU PREMIER ET SECOND ORDRE : ASSISE THÉORIQUE ET APPLICATIONS COURS DÉTAILLÉ ET EXERCICES RÉSOLUS,HAZI MOHAMMED,124
9789961020661,DE MES CAHIERS D’ANALYSE…SUITES NUMERIQUES : COURS DETAILLE ET EXERCICES RESOLUS,HAZI MOHAMMED,124
9781617294433,DEEP LEARNING WITH PYTHON,"CHOLLET, FRANC¸OIS",3
9780367258399,DEVELOPING WRITING SKILLS FOR IELTS : A RESEARCH-BASED APPROACH,SIN WANG CHONG,2
978996101974,DIDACTIQUE DES LANGUES ETRANGERES ET APPORT PEDAGOGIQUES,LAKHDAR KHARCHI,1
9781118692288,DISCIPLINED ENTREPRENEURSHIP: 24 STEPS TO A SUCCESSFUL STARTUP,"AULET, BILL",1
9780367344245,DISCOURSE STRATEGIES FOR SCIENCE TEACHING AND LEARNING: RESEARCH AND PRACTICE,"TANG, KOK-SING",2
9782300026348,DREAMWEAVER CS5,"SCHULZ, CLAUS",1
2729820108,DU BINAIRE AU PROCESSEUR,EMMANUEL MESNARD,3
9782854288889,"DUALITÉ, FORMES QUADRATIQUES, FORMES HERMITIENNES",MOHAMED BOUCETTA,2
9782100830572,ECOLOGIE GÉNÉRALE,ROBERT BARBAULT,3
978996101978,ECONOMIE GÉNÉRAL,MATOUK BELATTAF,1
9781491903995,EFFECTIVE MODERN C++ : 42 SPECIFIC WAYS TO IMPROVE YOUR USE OF C++11 AND C++14,"MEYERS, SCOTT",3
9781630815493,ELECTRIC CIRCUITS: A PRIME,OLIVIER JC,1
9789961014721,ELECTRICITÉ ET MAGNÉTISME : RAPPELS DE COURS ET EXERCICES CORRIGÉS,FIZAZI AHMED,2
9782880746735,ELECTROCHIMIE PHYSIQUE ET ANALYTIQUE,"GIRAULT, HUBERT H.",2
9782100824885,ELECTRODYNAMIQUE CLASSIQUE : COURS ET EXERCICES D'ÉLECTROMAGNÉTISME,"JACKSON, JOHN DAVID",3
9789961009413,ELECTRONIQUE GENERALE ( LES COMPOSANTS PASSIF - LES COMPOSANT ACTIF ) : L'AMOLIFICATEUR OPERATIONNEL,HAROUBIA BRAHIM,2
9789961007501,ELECTRONIQUE NUMÉRIQUE : LOGIQUE COMBINATOIRE : EXERCICES ET PROBLÈMES RÉSOLUS,BESSAID ABDELHAFI,2
9789961007518,ELECTRONIQUE NUMÉRIQUE T.2 LOGIQUE SÉQUENTIELLE : EXERCICES ET PROBLÈMES RÉSOLUS,BESSAID ABDELHAFI,2
9789961011188,ELEMENTS D'ANALYSE TOME 2 : FONCTIONS D'UNE VARIABLE RÉELLE :1RE 2RE ANNÉES D'UNIVERSITÉ,KADA ALLAB,104
9789961002704,ELÉCTRICITÉ ET ONDES : COURS EXERCICES ET TRAVAUX PRATIQUES,"CAUBARRERE, J. L.",2
2100071599,ELÉCTRICITÉ GÉNÉRALE : ANALYSE ET SYNTHÈSE DES CIRCUITS,"NEFFATI, TAHAR",1
9782100821822,ELÉMENTS DE DISTRIBUTIONS ET D'ÉQUATIONS AUX DÉRIVÉES PARTIELLES : COURS ET PROBLÈMES RÉSOLUS,"ZUILY, CLAUDE",5
9789961007242,ELÉMENTS DE LA THÉORIE DES PROBABILITÉS T.1,BOUSSEBOUA MOUSSEDEK,64
9781461442974,ENGLISH FOR ACADEMIC RESEARCH : GRAMMAR EXERCISES,"WALLWORK, ADRIAN",3
9781461442677,ENGLISH FOR ACADEMIC RESEARCH : VOCABULARY EXERCISES,"WALLWORK, ADRIAN.",3
9781461415923,"ENGLISH FOR ACADEMIC RESEARCH : WALLWORK, ADRIAN.","WALLWORK, ADRIAN.",3
9781461442882,"ENGLISH FOR ACADEMIC RESEARCH : WALLWORK, ADRIAN.","WALLWORK, ADRIAN.",3
9789961021835,ENTREPRENEURIAT APPROCHE GLOBALE ET PRATIQUE : LANCEZ VOTRE STARTUP ET DEVENEZ ENTREPRENEUR,M-SAID OUKIL,12
9789961012901,EQUATION DE LA PHYSIQUE MATHEMATIQUE APPLIQUEES,BADDARI.K,1
9780192867742,ESSENTIAL STATISTICS FOR DATA SCIENCE : A CONCISE CRASH COURSE,MU ZHU,2
078970952x,EXCEL 97 : COMMENT FAIRE QUAND ON N'Y CONNAIT RIEN ET QU'ON VEUT Y ARRIVER TOUT SEUL,"GOLD, LAURA MAERY",2
9782729831059,EXCEL POUR L'INGÉNIEUR,PHILIPPE BELLAN,0
272988632x,EXERCICES CORRIGE DE MATHEMATIQUES : POSÉS À L'ORAL DES CONCOURS HEC ET ESCP,"LOUIS ROQUE, JEAN",2
9789931031376,EXERCICES CORRIGÉS D'ALGÈBRE,MORTAD MOHAMMED HICHEM,10
9789961652855,EXERCICES CORRIGÉS D'ANALYSE : 1ÈRE ANNÉE LMD,MORTAD MOHAMMED HICHAM*,5
9782804155513,EXERCICES CORRIGÉS DE MATHÉMATIQUES,PASCAL DUPONT,2
9782804155520,EXERCICES CORRIGÉS DE MATHÉMATIQUES,PASCAL DUPONT,2
2100050311,EXERCICES CORRIGÉS SUR LE LANGAGE C : SOLUTIONS DES EXERCICES DU KERNIGHAN ET RITCHIE,"TONDO, CLOVIS L.",2
9789931926221,EXERCICES D'ALGÈBRE ET D'ANALYSE : 154 EXERCICES CORRIGÉS DE PREMIÉRE ANNÉE 21 ÉDITION ENTIÉREMENT REVUE ET AUGMENTÉE,BALAC STÉPHANE,4
2711721507,EXERCICES D'ALGÈBRE LINÉAIRE,"RIVAUD , JACSQUES",2
2711721434,EXERCICES D'ALGÈBRE. 1,"RIVAUD, JACQUES",1
2711721442,EXERCICES D'ALGÈBRE. 1,"RIVAUD, JACQUES",1
221209566X,EXERCICES D'AUTOMATIQUE,MAURICE RIVOIRE,0
2040018387,EXERCICES DE CALCUL DES PROBABILITÉS,"CALOT, GÉRARD",5
2804134652,EXERCICES DE MATHÉMATIQUES POUR LE PREMIER CYCLE,"DUPONT, PASCAL",1
9782729887889,EXERCICES DE PROGRAMMATION FONCTIONNELLE EN OCAML,FABIENNE CARRIER,0
2711721469,EXERCICES DE TOPOLOGIE ET D'ANALYSE,G. FLORY,2
2711721450,EXERCICES DE TOPOLOGIE ET D'ANALYSE,GEORGES FLORY,0
2711721485,EXERCICES DE TOPOLOGIE ET D'ANALYSE,GEORGES FLORY,2
2212092660,EXERCICES EN JAVA,"DELANNOY, CLAUDE",1
9782212673876,EXERCICES EN LANGAGE C,"CLAUDE,DELANNOY",2
2212111061,EXERCICES EN LANGAGE C,"CLAUDE,DELANNOY",2
9782212676631,EXERCICES EN LANGAGE C,"CLAUDE,DELANNOY",2
9782100826674,"EXERCICES ET MÉTHODES, CHIMIE GÉNÉRALE",DANIELLE BAEYENS-VOLANT,3
2040100725,EXERCICES ET PROBLEMES RESOLUS D'ANALYSE,"CHAMBADAL, LUCIEN",4
2100069586,EXERCICES ET PROBLÈMES D'ALGORITHMIQUE,BRUNO BAYNAT,2
204009394x,EXERCICES ET PROBLÈMES RÉSOLUS D'ALGÈBRE,"CHAMBADAL, LUCIEN",3
9780367562236,EXPLORING GRAMMAR THROUGH TEXTS,CORNELIA PARASKEVAS,2
9782212140255,EXPÉRIENCE UTILISATEUR MOBILE,AMÉLIE BOUCHER,2
2729827803,EXTENSIONS DE CORPS,JOSETTE CALAIS,2
2225369823,ÉQUATIONS DIFFÉRENTIELLES ORDINAIRES,NICOLAS ROUCHE,2
978996101861,FONCTIONS D'UNE VARIABLE RÉELLE,ZIZI KHELIFA,4
9789947028810,FONCTIONS D'UNE VARIABLE RÉELLE,ZIZI KHELIFA,4
9789961014646,FONCTIONS DE LA VARIABLE COMPLEXE T.1 : EXERCICES ET PROBLÈMES RÉSOLUS AVEC RAPPELS DE COURS,BOUSSEBOUA MOUSSEDEK,4
9789961014653,FONCTIONS DE LA VARIABLE COMPLEXE T.2 : EXERCICES ET PROBLÈMES RÉSOLUS AVEC RAPPELS DE COURS,BOUSSEBOUA MOUSSEDEK,24
9789961020715,"FONCTIONS DE PLUSIEURS VARIABLES RELLES : IMITES,CONTINUITE,DIFFERENTIABILITÉ ET.... COURS DÉTAILLÉ ET EXERCICES RÉSOLUS",HAZI MOHAMMED,170
9789961020685,"FONCTIONS RÉELLES D'UNE VARIABLE RÉELLE : DÉRIVABILITÉ, DÉRIVÉES, DÉVELOPPEMENTS LIMITÉS",HAZI MOHAMMED,174
9782840740650,FONDEMENTS MATHÉMATIQUES DE L'INFORMATIQUE,"STERN, JACQUES",2
9782854288629,"FORMULES DE TAYLOR, DÉVELOPPEMENTS LIMITÉS",JEAN-JACQUES COLIN,2
2704200254,FORMULES ET TABLES DE MATHÉMATIQUES,"SPIEGEL, MURRAY R.",2
9780262039406,FOUNDATIONS OF MACHINE LEARNING,"MOHRI, MEHRYAR",2
9782746223493,FOURMIS ARTIFICIELLES,"MONMARCHÉ, NICOLAS",3
9781292097619,FUNDAMENTALS OF DATABASE SYSTEMS,"ELMEZ ,ELMASRI",3
9781482220940,FUTURE OF WIRELESS NETWORKS,MOHESEN GUIZANI,2
9781466503281,GEOCOMPUTATION,ROBERT J. ABRAHART,0
9781680456936,GETTING STARTED WITH ARDUINO,MASSIMO BANZI,0
9780472035090,"GIVING ACADEMIC PRESENTATIONS, SECOND EDITION (MICHIGAN SERIES IN ENGLISH FOR ACADEMIC & PROFESSIONAL PURPOSES)",SUSAN M. REINHART,0
978996101860,GROUPES ANNEAUX CORPS,ZIZI KHELIFA,4
9789961012222,"GUIDE DE MÉTHODOLOGIE DE LA RECHERCHE POST- GRADUÉE : MÉMOIRES DE LICENCE ET DE MAGISTÉRE, THÉSE DE DOCTORAT APPLICATION AU DOMAINE DES SCIENCES COMMERCIALES","ZELLAL, NACIRA",1
9782100821884,GÉNIE DES PROCÉDÉS ALIMENTAIRES,JEAN-JACQUES BIMBENET,3
2100079115,GÉNIE LOGICIEL,"GUSTAFSON, DAVID",4
9782100821648,"GÉNIE MÉCANIQUE : CONCEPTION, MATÉRIAUX, FABRICATION, APPLICATIONS INDUSTRIELLES","MAUREL, JEAN-FRANÇOIS",3
9782705656584,GÉOMÉTRIE DIF FÉRENTIELLE ET MÉCANIQUE ANALYTIQUE,GODBILLON; CLAUDE,1
9781492032649,"HANDS-ON MACHINE LEARNING WITH SCIKIT-LEARN, KERAS, AND TENSORFLOW",AURÉLIEN GÉRON,3
9781482243833,"HARMONICS, POWER SYSTEMS, AND SMART GRIDS",DE LA ROSA RANCISCO C,4
